"Year_First","Year_Last","Country","PDF"
"",NA,"",NA
"1979",1980,"Democratic Republic of Congo","internal-pdf://1436485989.pdf"
"",NA,"Ghana","internal-pdf://0659339597.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"2003",NA,"India","internal-pdf://3682921523.pdf"
"",NA,"Cambodia","internal-pdf://4015761382.pdf;internal-pdf://3151144403.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Malaysia","internal-pdf://4015761382.pdf;internal-pdf://3151144403.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Cambodia",NA
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Papua New Guinea","internal-pdf://0659339597.pdf"
"",NA,"India","internal-pdf://1347402211.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"Madagascar","internal-pdf://2475418629.pdf"
"",NA,"New Caledonia",NA
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"",NA,"Gabon","internal-pdf://2892354934.pdf"
"2002",2002,"Republic of Congo","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;internal-pdf://4203467415.pdf;internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;"
"2006",2013,"Zambia","internal-pdf://1351986620.pdf"
"2008",2008,"Ghana",NA
"2007",2007,"Ghana","internal-pdf://2532212819.pdf"
"",NA,"Vietnam","internal-pdf://3687882329.pdf"
"",NA,"Malaysia",NA
"2007",2007,"Ghana","internal-pdf://2532212819.pdf"
"",NA,"Malaysia","internal-pdf://4008234341.pdf;internal-pdf://2713438761.pdf"
"",NA,"Malaysia","internal-pdf://4008234341.pdf;internal-pdf://2713438761.pdf"
"",NA,"Malaysia","internal-pdf://4008234341.pdf;internal-pdf://2713438761.pdf"
"",NA,"Malaysia","internal-pdf://4008234341.pdf;internal-pdf://2713438761.pdf"
"",NA,"Malaysia",""
"",NA,"Malaysia",""
"",NA,"Malaysia",""
"2005",2008,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"",NA,"Zambia","internal-pdf://1351986620.pdf"
"",NA,"Zambia","internal-pdf://1351986620.pdf"
"2005",2005,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"2003",2006,"Republic of Congo",""
"2001",2003,"Republic of Congo","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"2007",2007,"Ghana","internal-pdf://2532212819.pdf"
"2007",2007,"Ghana","internal-pdf://2532212819.pdf"
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;;internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;internal-pdf://4203467415.pdf;internal-pdf://3982771992.pdf;internal-pdf://3982771992.pdf"
"",NA,"Gabon","internal-pdf://3114337506.pdf;internal-pdf://0530841116.pdf"
"",NA,"Gabon","internal-pdf://1183950013.pdf"
"",NA,"Gabon","internal-pdf://1183950013.pdf"
"",NA,"Republic of Congo","internal-pdf://1183950013.pdf"
"2001",NA,"Gabon","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Gabon","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Gabon","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2003",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2003",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"2005",2005,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"2003",2006,"Republic of Congo",""
"2001",2003,"Republic of Congo","internal-pdf://0008802016.pdf;;internal-pdf://0008802016.pdf;internal-pdf://4203467415.pdf;internal-pdf://0008802016.pdf;internal-pdf://1313980552.pdf;internal-pdf://2364497871.pdf"
"2007",2007,"Ghana","internal-pdf://2532212819.pdf"
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf"
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf"
"",NA,"Central African Republic",NA
"",NA,"Cameroon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;;internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;internal-pdf://4203467415.pdf;internal-pdf://3982771992.pdf;internal-pdf://3982771992.pdf"
"",NA,"Gabon","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;;internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;internal-pdf://4203467415.pdf;internal-pdf://3982771992.pdf;internal-pdf://3982771992.pdf"
"",NA,"Republic of Congo","internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;;internal-pdf://2996827114.pdf;internal-pdf://3243569497.pdf;internal-pdf://4203467415.pdf;internal-pdf://3982771992.pdf;internal-pdf://3982771992.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2002",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"2003",NA,"Republic of Congo","internal-pdf://2150982356.pdf;internal-pdf://1792366426.pdf"
"",NA,"Central African Republic",NA
"",NA,"Mexico",NA
"",NA,"Mexico",NA
"",NA,"Mexico",NA
"",NA,"Mexico",NA
"1995",NA,"USA",""
"1995",NA,"USA",""
"1995",NA,"USA",""
"1995",NA,"USA",""
"1995",NA,"USA",""
"1995",NA,"USA",""
"",NA,"Uganda",NA
"",NA,"",NA
"",NA,"",NA
"",NA,"Uganda",NA
"",NA,"Uganda",NA
"1989",1998,"South Korea",NA
"1989",1998,"South Korea",NA
"1989",1998,"South Korea",NA
"1989",1998,"South Korea",NA
"1989",1998,"South Korea",NA
"1989",1998,"South Korea",NA
"2000",2009,"China",NA
"2000",2009,"China",NA
"2000",2009,"China",NA
"2013",NA,"Australia",NA
"2011",NA,"Australia",NA
"",NA,"Papua New Guinea","internal-pdf://2644456196.pdf;internal-pdf://0718811470.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://2644456196.pdf;internal-pdf://0718811470.pdf;internal-pdf://0659339597.pdf"
"",NA,"Papua New Guinea","internal-pdf://2644456196.pdf;internal-pdf://0718811470.pdf;internal-pdf://0659339597.pdf"
"",NA,"Ghana",NA
"",NA,"Australia",";internal-pdf://2256030212.pdf;internal-pdf://3415939325.pdf;internal-pdf://1731008265.pdf"
"",NA,"Australia",";internal-pdf://2256030212.pdf;internal-pdf://3415939325.pdf;internal-pdf://1731008265.pdf"
"",NA,"Australia",";internal-pdf://2256030212.pdf;internal-pdf://3415939325.pdf;internal-pdf://1731008265.pdf"
"",NA,"Australia","internal-pdf://1594807244.pdf;internal-pdf://2256030212.pdf"
